For events definition screenshots ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Event Name,Description,"Sample button
/URL",Property Name,isMandated,Property Value Type,Property Description,Suggested values (Red colored values are fixed allowed values),Standardisation,DBS/POSB SG PL Full API,SCB SG CC Full API,SCB SG PL Full API,OCBC Bot Service,CI FWD ,CI Etiqa,CI Wizard,Home Loan - TDSR Calculator,Home Loan - Property Tax Calculator,Home Loan - Stamp Duty Calculator,Home Loan - Refinance Calculator,Home Loan - MSR Calculator,Home Loan - Mortgage Calculator,Home Loan - Progressive Payment Calculator,Home Loan - Property Valuation Calculator,Home Loan HK - Mortgage Calculator,Home Loan HK - Property Valuation Calculator,Mortgage Home Page,New Purchase Home Page,Refinance Home Page,"New Listing Service
HK TI",Product Widgets
,,,,affiliateCategory,FALSE,string,Category of page that widget is part of,,,,,,,,,,,,,,,,,,,,,,,N/A,"credit-cards,dining,shopping,personal-loans"
,,,,affiliatePageType,FALSE,string,Type of page where widget is placed,,,,,,,,,,,,,,,,,,,,,,,N/A,"blog-post-page,category-page"
,,,,affiliateLocation,FALSE,string,Location of widget on page,,,,,,,,,,,,,,,,,,,,,,,N/A,"top,middle,bottom"
,,,,affiliateWidgetType,FALSE,string,Type of the widget,"smart-widget,inline-widget,sidebar-widget",,,,,,,,,,,,,,,,,,,,,,,
,,,,source,FALSE,string,Source of the event,"blog-widget,shop",,,,,,,,,,,,,,,,,,,,,,N/A,blog.moneysmart.sg
,,,,sourceId,FALSE,string,Id of the source,"123(WidgetId, incase of widget)",,,,,,,,,,,,,,,,,,,,,,N/A,integer value greater than or equal to 1
9,UserEngagement.SortedList,Tracks the click events on the sort table header in the listing page,SortBy,sortFieldName,TRUE,string,Name of the field that the user is trying to sort,"price,medical-coverage,loss/damage-of-baggage,trip-cancellation,rate,
processing-fee,monthly-installments, rate-type, lock-in-period,avg-interest-rate, 
bank, minimum-interest-rate,maximum-interest-rate, rating,interest-difference, recommended",Listing and details page,,,,,,,,,,,,,,,,,,,,,"medical-coverage, loss/damage-of-baggage, trip-cancellation, price",N.A
,,,,sortOrder,TRUE,string,The order which the user is sorting the results,"asc, desc",,,,,,,,,,,,,,,,,,,,,,"asc, desc",N.A
,,,,pageType,TRUE,string,Type of page user landed,"home-page,product-listing,product-details,blog-home-page, 
blog-category-listing, blog-article-details, form-page, login-page,
redirect-page, widgets, thank-you, interstitial-page",,,,,,,,,,,,,,,,,,,,,,,
,,,,language,TRUE,string,Locale of the page,"en,zh-hk",,,,,,,,,,,,,,,,,,,,,,,
,,,,country,TRUE,string,which market this events happened,"sg,hk,tw,ph,id",,,,,,,,,,,,,,,,,,,,,,,
,,,,channel,TRUE,string,Product Channel,"home-loan,refinancing,home-equity-loan,renovation-loan,
education-loan,car-loan,debt-consolidation-loan,personal-loan,
car-insurance,home-insurance,mortgage-insurance,travel-insurance,
life-insurance,personal-accident-insurance,health-insurance,
maid-insurance,international-health,fixed-deposit,savings-account,
credit-cards,tax-loan,lending-companies-loan,debt-consolidation-plan,banks-loan,blog",,,,,,,,,,,,,,,,,,,,,,travel-insurance,N.A
10,UserEngagement.UsedHelpHints,Tracks when a user interacts with a help hint on the site,Tooltip,hintType,TRUE,string,Type of help hint. Values declared here are taken from the icon names,"question-circle, i-circle, how-to-claim",,,,,,,,,,,,,,,,,,,,,,N/A,N.A
,,,,hintName,TRUE,string,name of the hint user read,,,,,,,,,,,,,,,,,,,,,,,,
